order_id,customer_id,amount,payment_method,order_status,customer_account_age_days,previous_cod_orders,previous_cod_refusals,previous_successful_deliveries,pincode,pincode_risk_group,pincode_rto_rate,product_category,is_first_order,created_at,rto_outcome
ORD-0042-0000052,CUST-0000510,846.65,COD,DELIVERED,1300,21,0,18,110068,MEDIUM,0.2789,apparel,False,2026-01-01T05:57:00+00:00,DELIVERED
ORD-0042-0000053,CUST-0002357,1296.57,COD,DELIVERED,642,16,0,12,110227,LOW,0.1073,electronics,False,2026-01-01T06:04:00+00:00,DELIVERED
ORD-0042-0000054,CUST-0000374,2555.88,COD,DELIVERED,62,5,1,5,110113,LOW,0.1231,electronics,False,2026-01-01T06:11:00+00:00,DELIVERED
ORD-0042-0000055,CUST-0003165,3154.22,COD,DELIVERED,856,15,0,10,110126,LOW,0.0939,beauty,False,2026-01-01T06:18:00+00:00,DELIVERED
ORD-0042-0000056,CUST-0001180,1445.64,COD,RTO,1073,3,0,0,110193,LOW,0.0980,beauty,False,2026-01-01T06:25:00+00:00,RTO
ORD-0042-0000057,CUST-0002654,1270.27,COD,DELIVERED,1450,15,3,15,110040,MEDIUM,0.2131,footwear,False,2026-01-01T06:32:00+00:00,DELIVERED
ORD-0042-0000058,CUST-0000560,1370.57,PREPAID,DELIVERED,1040,14,0,9,110062,HIGH,0.4057,jewellery,False,2026-01-01T06:39:00+00:00,DELIVERED
ORD-0042-0000059,CUST-0001984,3551.58,PREPAID,DELIVERED,585,19,0,13,110076,HIGH,0.3731,footwear,False,2026-01-01T06:46:00+00:00,DELIVERED
ORD-0042-0000060,CUST-0001582,1609.66,PREPAID,DELIVERED,1150,20,3,17,110061,MEDIUM,0.2600,jewellery,False,2026-01-01T06:53:00+00:00,DELIVERED
ORD-0042-0000061,CUST-0001680,3055.90,PREPAID,DELIVERED,1355,4,0,4,110025,MEDIUM,0.2516,footwear,False,2026-01-01T07:00:00+00:00,DELIVERED
ORD-0042-0000062,CUST-0002568,722.21,COD,DELIVERED,336,8,3,2,110166,MEDIUM,0.1935,home,False,2026-01-01T07:07:00+00:00,DELIVERED
ORD-0042-0000063,CUST-0002843,1336.29,COD,DELIVERED,1575,15,1,15,110073,MEDIUM,0.2481,home,False,2026-01-01T07:14:00+00:00,DELIVERED
ORD-0042-0000064,CUST-0001567,1570.87,COD,RTO,79,7,0,1,110062,HIGH,0.4057,beauty,False,2026-01-01T07:21:00+00:00,RTO
ORD-0042-0000065,CUST-0001738,732.28,COD,DELIVERED,513,16,0,15,110170,HIGH,0.3286,beauty,False,2026-01-01T07:28:00+00:00,DELIVERED
ORD-0042-0000066,CUST-0000201,1849.21,COD,DELIVERED,955,12,2,9,110091,MEDIUM,0.2717,beauty,False,2026-01-01T07:35:00+00:00,DELIVERED
ORD-0042-0000067,CUST-0000561,914.36,COD,DELIVERED,1546,21,1,15,110162,HIGH,0.3604,footwear,False,2026-01-01T07:42:00+00:00,DELIVERED
ORD-0042-0000068,CUST-0001499,2857.63,COD,DELIVERED,1305,7,0,1,110023,HIGH,0.3958,home,False,2026-01-01T07:49:00+00:00,DELIVERED
ORD-0042-0000069,CUST-0002198,1183.30,PREPAID,RTO,578,11,3,5,110222,LOW,0.1164,footwear,False,2026-01-01T07:56:00+00:00,RTO
ORD-0042-0000070,CUST-0002538,1004.53,COD,DELIVERED,23,0,0,0,110149,MEDIUM,0.1909,home,True,2026-01-01T08:03:00+00:00,DELIVERED
ORD-0042-0000071,CUST-0002202,998.78,COD,RTO,1169,11,1,10,110179,LOW,0.0916,beauty,False,2026-01-01T08:10:00+00:00,RTO
ORD-0042-0000072,CUST-0000406,3413.35,COD,DELIVERED,29,0,0,0,110178,LOW,0.1585,jewellery,True,2026-01-01T08:17:00+00:00,DELIVERED
ORD-0042-0000073,CUST-0000778,2284.36,COD,DELIVERED,1280,13,1,13,110060,MEDIUM,0.2366,beauty,False,2026-01-01T08:24:00+00:00,DELIVERED
ORD-0042-0000074,CUST-0000849,1045.43,PREPAID,DELIVERED,951,7,1,2,110085,MEDIUM,0.1997,apparel,False,2026-01-01T08:31:00+00:00,DELIVERED
ORD-0042-0000075,CUST-0003230,2107.59,COD,DELIVERED,497,16,2,10,110037,MEDIUM,0.1753,grocery,False,2026-01-01T08:38:00+00:00,DELIVERED
ORD-0042-0000076,CUST-0002103,2560.78,COD,DELIVERED,20,0,0,0,110032,LOW,0.1097,footwear,True,2026-01-01T08:45:00+00:00,DELIVERED
ORD-0042-0000077,CUST-0002918,779.86,PREPAID,DELIVERED,945,20,0,16,110133,MEDIUM,0.2785,grocery,False,2026-01-01T08:52:00+00:00,DELIVERED
ORD-0042-0000078,CUST-0002875,1570.62,COD,RTO,170,6,0,2,110149,MEDIUM,0.1909,home,False,2026-01-01T08:59:00+00:00,RTO
ORD-0042-0000079,CUST-0001281,3033.82,PREPAID,DELIVERED,35,0,0,0,110115,HIGH,0.3635,apparel,True,2026-01-01T09:06:00+00:00,DELIVERED
ORD-0042-0000080,CUST-0001351,5966.79,COD,DELIVERED,1382,9,1,8,110021,MEDIUM,0.2067,apparel,False,2026-01-01T09:13:00+00:00,DELIVERED
ORD-0042-0000081,CUST-0000444,979.84,COD,DELIVERED,861,17,2,11,110079,MEDIUM,0.1897,footwear,False,2026-01-01T09:20:00+00:00,DELIVERED
ORD-0042-0000082,CUST-0002879,2066.82,COD,DELIVERED,1159,17,0,11,110143,LOW,0.0952,beauty,False,2026-01-01T09:27:00+00:00,DELIVERED
ORD-0042-0000083,CUST-0001277,549.91,COD,DELIVERED,715,12,2,11,110036,LOW,0.0860,beauty,False,2026-01-01T09:34:00+00:00,DELIVERED
ORD-0042-0000084,CUST-0002099,1298.79,COD,RTO,1182,3,0,2,110069,HIGH,0.3623,home,False,2026-01-01T09:41:00+00:00,RTO
ORD-0042-0000085,CUST-0000032,1386.50,COD,DELIVERED,27,0,0,0,110151,LOW,0.1268,home,True,2026-01-01T09:48:00+00:00,DELIVERED
ORD-0042-0000086,CUST-0002737,2025.30,PREPAID,DELIVERED,13,0,0,0,110074,LOW,0.0810,home,True,2026-01-01T09:55:00+00:00,DELIVERED
ORD-0042-0000087,CUST-0001331,1270.19,PREPAID,DELIVERED,167,7,0,4,110147,MEDIUM,0.2068,grocery,False,2026-01-01T10:02:00+00:00,DELIVERED
ORD-0042-0000088,CUST-0001271,1339.95,PREPAID,RTO,29,0,0,0,110022,LOW,0.1508,grocery,True,2026-01-01T10:09:00+00:00,RTO
ORD-0042-0000089,CUST-0003110,2330.88,COD,DELIVERED,473,10,0,10,110231,LOW,0.1271,electronics,False,2026-01-01T10:16:00+00:00,DELIVERED
ORD-0042-0000090,CUST-0000619,1766.06,COD,DELIVERED,382,19,0,13,110225,LOW,0.0925,home,False,2026-01-01T10:23:00+00:00,DELIVERED
ORD-0042-0000091,CUST-0000370,1387.13,COD,DELIVERED,980,20,0,14,110079,MEDIUM,0.1897,electronics,False,2026-01-01T10:30:00+00:00,DELIVERED
ORD-0042-0000092,CUST-0000254,4205.66,PREPAID,DELIVERED,1058,16,0,12,110115,HIGH,0.3635,grocery,False,2026-01-01T10:37:00+00:00,DELIVERED
ORD-0042-0000093,CUST-0003173,1553.25,COD,DELIVERED,723,7,0,2,110112,MEDIUM,0.2390,beauty,False,2026-01-01T10:44:00+00:00,DELIVERED
ORD-0042-0000094,CUST-0001433,2998.16,COD,RTO,1244,1,0,1,110064,MEDIUM,0.1882,beauty,False,2026-01-01T10:51:00+00:00,RTO
ORD-0042-0000095,CUST-0002647,4395.71,COD,DELIVERED,1363,16,1,12,110164,MEDIUM,0.1711,electronics,False,2026-01-01T10:58:00+00:00,DELIVERED
ORD-0042-0000096,CUST-0001544,1421.58,PREPAID,DELIVERED,1061,13,0,11,110196,LOW,0.1174,footwear,False,2026-01-01T11:05:00+00:00,DELIVERED
ORD-0042-0000097,CUST-0000959,651.26,PREPAID,DELIVERED,11,0,0,0,110207,LOW,0.1570,home,True,2026-01-01T11:12:00+00:00,DELIVERED
ORD-0042-0000098,CUST-0003282,978.13,COD,DELIVERED,653,17,1,15,110196,LOW,0.1174,beauty,False,2026-01-01T11:19:00+00:00,DELIVERED
ORD-0042-0000099,CUST-0000604,2507.48,PREPAID,DELIVERED,532,7,0,1,110132,LOW,0.1345,home,False,2026-01-01T11:26:00+00:00,DELIVERED
ORD-0042-0000100,CUST-0001176,1256.13,COD,RTO,207,9,3,7,110095,MEDIUM,0.1802,beauty,False,2026-01-01T11:33:00+00:00,RTO
ORD-0042-0000101,CUST-0001181,3318.12,PREPAID,RTO,987,7,1,4,110055,HIGH,0.3046,apparel,False,2026-01-01T11:40:00+00:00,RTO
ORD-0042-0000102,CUST-0002589,1678.14,COD,RTO,7,0,0,0,110203,MEDIUM,0.2720,beauty,True,2026-01-01T11:47:00+00:00,RTO
ORD-0042-0000103,CUST-0002270,1771.83,COD,DELIVERED,515,7,0,4,110047,MEDIUM,0.2553,electronics,False,2026-01-01T11:54:00+00:00,DELIVERED
ORD-0042-0000104,CUST-0003012,2369.32,COD,DELIVERED,30,0,0,0,110095,MEDIUM,0.1802,beauty,True,2026-01-01T12:01:00+00:00,DELIVERED
ORD-0042-0000105,CUST-0003180,1273.87,COD,RTO,293,5,0,1,110175,HIGH,0.3360,grocery,False,2026-01-01T12:08:00+00:00,RTO
ORD-0042-0000106,CUST-0000783,7019.01,PREPAID,DELIVERED,95,3,1,3,110079,MEDIUM,0.1897,footwear,False,2026-01-01T12:15:00+00:00,DELIVERED
ORD-0042-0000107,CUST-0003266,2971.37,COD,DELIVERED,117,5,1,5,110112,MEDIUM,0.2390,beauty,False,2026-01-01T12:22:00+00:00,DELIVERED
ORD-0042-0000108,CUST-0000683,749.92,PREPAID,DELIVERED,189,8,1,5,110082,HIGH,0.4150,electronics,False,2026-01-01T12:29:00+00:00,DELIVERED
ORD-0042-0000109,CUST-0000656,3056.86,COD,DELIVERED,739,19,2,14,110070,LOW,0.1179,jewellery,False,2026-01-01T12:36:00+00:00,DELIVERED
ORD-0042-0000110,CUST-0000564,718.23,PREPAID,DELIVERED,312,9,0,8,110098,MEDIUM,0.2312,beauty,False,2026-01-01T12:43:00+00:00,DELIVERED
ORD-0042-0000111,CUST-0002507,1087.70,COD,DELIVERED,835,11,3,10,110132,LOW,0.1345,apparel,False,2026-01-01T12:50:00+00:00,DELIVERED
ORD-0042-0000112,CUST-0000646,2761.88,COD,DELIVERED,1025,7,2,6,110113,LOW,0.1231,grocery,False,2026-01-01T12:57:00+00:00,DELIVERED
ORD-0042-0000113,CUST-0000354,1595.23,PREPAID,DELIVERED,1454,9,0,5,110060,MEDIUM,0.2366,grocery,False,2026-01-01T13:04:00+00:00,DELIVERED
ORD-0042-0000114,CUST-0000304,1225.23,PREPAID,DELIVERED,25,0,0,0,110134,MEDIUM,0.2712,home,True,2026-01-01T13:11:00+00:00,DELIVERED
ORD-0042-0000115,CUST-0002123,2042.97,PREPAID,DELIVERED,1412,17,2,16,110046,LOW,0.1454,home,False,2026-01-01T13:18:00+00:00,DELIVERED
ORD-0042-0000116,CUST-0002186,676.74,COD,RTO,10,0,0,0,110057,HIGH,0.3222,jewellery,True,2026-01-01T13:25:00+00:00,RTO
ORD-0042-0000117,CUST-0000117,2732.30,COD,DELIVERED,10,0,0,0,110043,LOW,0.1532,electronics,True,2026-01-01T13:32:00+00:00,DELIVERED
ORD-0042-0000118,CUST-0001238,1660.93,COD,DELIVERED,16,0,0,0,110106,MEDIUM,0.2447,home,True,2026-01-01T13:39:00+00:00,DELIVERED
ORD-0042-0000119,CUST-0002110,1365.43,COD,DELIVERED,1422,15,0,12,110123,LOW,0.1116,beauty,False,2026-01-01T13:46:00+00:00,DELIVERED
ORD-0042-0000120,CUST-0001611,960.93,COD,RTO,673,7,0,7,110074,LOW,0.0810,apparel,False,2026-01-01T13:53:00+00:00,RTO
ORD-0042-0000121,CUST-0001084,2006.67,COD,DELIVERED,513,8,0,6,110215,MEDIUM,0.2698,electronics,False,2026-01-01T14:00:00+00:00,DELIVERED
ORD-0042-0000122,CUST-0002553,987.50,COD,DELIVERED,1584,12,0,12,110141,LOW,0.0962,apparel,False,2026-01-01T14:07:00+00:00,DELIVERED
ORD-0042-0000123,CUST-0000562,2067.90,PREPAID,RTO,263,7,0,4,110093,LOW,0.0843,electronics,False,2026-01-01T14:14:00+00:00,RTO
ORD-0042-0000124,CUST-0002078,1038.96,COD,DELIVERED,990,17,1,16,110156,LOW,0.1456,footwear,False,2026-01-01T14:21:00+00:00,DELIVERED
ORD-0042-0000125,CUST-0003180,4836.98,COD,DELIVERED,1110,17,0,15,110028,MEDIUM,0.1992,footwear,False,2026-01-01T14:28:00+00:00,DELIVERED
ORD-0042-0000126,CUST-0000782,685.53,COD,DELIVERED,486,4,0,1,110215,MEDIUM,0.2698,electronics,False,2026-01-01T14:35:00+00:00,DELIVERED
ORD-0042-0000127,CUST-0000850,930.02,COD,RTO,20,0,0,0,110052,MEDIUM,0.1701,beauty,True,2026-01-01T14:42:00+00:00,RTO
ORD-0042-0000128,CUST-0001083,1700.22,COD,DELIVERED,1376,18,0,15,110087,LOW,0.1483,grocery,False,2026-01-01T14:49:00+00:00,DELIVERED
ORD-0042-0000129,CUST-0003258,1077.63,PREPAID,DELIVERED,413,11,0,7,110197,LOW,0.0918,jewellery,False,2026-01-01T14:56:00+00:00,DELIVERED
ORD-0042-0000130,CUST-0001051,1044.52,PREPAID,DELIVERED,609,8,0,3,110088,HIGH,0.4178,beauty,False,2026-01-01T15:03:00+00:00,DELIVERED
ORD-0042-0000131,CUST-0001353,2064.05,COD,RTO,458,8,3,6,110157,MEDIUM,0.1710,apparel,False,2026-01-01T15:10:00+00:00,RTO
ORD-0042-0000132,CUST-0000367,3251.27,COD,DELIVERED,225,8,3,4,110225,LOW,0.0925,home,False,2026-01-01T15:17:00+00:00,DELIVERED
ORD-0042-0000133,CUST-0001186,3636.23,PREPAID,DELIVERED,495,15,0,14,110009,LOW,0.0881,jewellery,False,2026-01-01T15:24:00+00:00,DELIVERED
ORD-0042-0000134,CUST-0000666,1595.15,PREPAID,DELIVERED,38,9,0,5,110164,MEDIUM,0.1711,footwear,False,2026-01-01T15:31:00+00:00,DELIVERED
ORD-0042-0000135,CUST-0001344,601.75,PREPAID,DELIVERED,1347,8,1,8,110193,LOW,0.0980,electronics,False,2026-01-01T15:38:00+00:00,DELIVERED
ORD-0042-0000136,CUST-0002347,1146.73,COD,DELIVERED,6,0,0,0,110082,HIGH,0.4150,apparel,True,2026-01-01T15:45:00+00:00,DELIVERED
ORD-0042-0000137,CUST-0001506,1384.92,COD,DELIVERED,23,0,0,0,110030,MEDIUM,0.2451,apparel,True,2026-01-01T15:52:00+00:00,DELIVERED
ORD-0042-0000138,CUST-0001014,1608.52,PREPAID,DELIVERED,468,5,0,4,110179,LOW,0.0916,beauty,False,2026-01-01T15:59:00+00:00,DELIVERED
ORD-0042-0000139,CUST-0001344,492.26,COD,RTO,1240,5,0,2,110028,MEDIUM,0.1992,grocery,False,2026-01-01T16:06:00+00:00,RTO
ORD-0042-0000140,CUST-0000090,1168.01,COD,RTO,924,8,1,3,110207,LOW,0.1570,electronics,False,2026-01-01T16:13:00+00:00,RTO
ORD-0042-0000141,CUST-0001567,933.98,COD,DELIVERED,26,4,0,4,110015,LOW,0.1319,apparel,False,2026-01-01T16:20:00+00:00,DELIVERED
ORD-0042-0000142,CUST-0000913,1179.32,PREPAID,DELIVERED,793,17,3,12,110220,HIGH,0.3811,apparel,False,2026-01-01T16:27:00+00:00,DELIVERED
ORD-0042-0000143,CUST-0003136,829.18,COD,DELIVERED,1568,3,1,0,110210,HIGH,0.4072,electronics,False,2026-01-01T16:34:00+00:00,DELIVERED
ORD-0042-0000144,CUST-0003179,2093.95,COD,RTO,26,0,0,0,110227,LOW,0.1073,jewellery,True,2026-01-01T16:41:00+00:00,RTO
ORD-0042-0000145,CUST-0001237,2118.28,PREPAID,DELIVERED,32,0,0,0,110234,HIGH,0.4403,footwear,True,2026-01-01T16:48:00+00:00,DELIVERED
ORD-0042-0000146,CUST-0001411,1992.79,COD,RTO,1372,19,0,16,110225,LOW,0.0925,jewellery,False,2026-01-01T16:55:00+00:00,RTO
ORD-0042-0000147,CUST-0003301,2485.37,COD,DELIVERED,1394,14,1,12,110047,MEDIUM,0.2553,footwear,False,2026-01-01T17:02:00+00:00,DELIVERED
ORD-0042-0000148,CUST-0000781,1180.62,COD,DELIVERED,138,9,0,6,110052,MEDIUM,0.1701,footwear,False,2026-01-01T17:09:00+00:00,DELIVERED
ORD-0042-0000149,CUST-0001242,1951.94,COD,DELIVERED,24,0,0,0,110223,MEDIUM,0.2135,electronics,True,2026-01-01T17:16:00+00:00,DELIVERED
ORD-0042-0000150,CUST-0001160,3028.15,PREPAID,DELIVERED,51,7,0,2,110062,HIGH,0.4057,beauty,False,2026-01-01T17:23:00+00:00,DELIVERED
ORD-0042-0000151,CUST-0000907,3987.88,PREPAID,DELIVERED,1112,13,0,11,110205,MEDIUM,0.2066,beauty,False,2026-01-01T17:30:00+00:00,DELIVERED
ORD-0042-0000152,CUST-0001383,720.20,COD,DELIVERED,53,9,0,5,110084,MEDIUM,0.2246,apparel,False,2026-01-01T17:37:00+00:00,DELIVERED
ORD-0042-0000153,CUST-0000754,1231.35,PREPAID,DELIVERED,31,0,0,0,110125,HIGH,0.3785,home,True,2026-01-01T17:44:00+00:00,DELIVERED
ORD-0042-0000154,CUST-0000038,2394.55,COD,DELIVERED,1130,1,1,1,110012,LOW,0.1251,grocery,False,2026-01-01T17:51:00+00:00,DELIVERED
ORD-0042-0000155,CUST-0002859,1541.23,COD,DELIVERED,29,0,0,0,110170,HIGH,0.3286,electronics,True,2026-01-01T17:58:00+00:00,DELIVERED
ORD-0042-0000156,CUST-0001229,657.08,COD,DELIVERED,387,7,0,3,110208,HIGH,0.4468,electronics,False,2026-01-01T18:05:00+00:00,DELIVERED
ORD-0042-0000157,CUST-0000391,1855.48,COD,RTO,185,4,0,1,110002,LOW,0.1371,apparel,False,2026-01-01T18:12:00+00:00,RTO
ORD-0042-0000158,CUST-0001632,4021.59,COD,DELIVERED,107,10,1,4,110236,LOW,0.1550,footwear,False,2026-01-01T18:19:00+00:00,DELIVERED
ORD-0042-0000159,CUST-0000220,672.86,PREPAID,DELIVERED,632,6,0,5,110138,HIGH,0.3491,home,False,2026-01-01T18:26:00+00:00,DELIVERED
ORD-0042-0000160,CUST-0003210,1984.85,PREPAID,DELIVERED,14,0,0,0,110196,LOW,0.1174,footwear,True,2026-01-01T18:33:00+00:00,DELIVERED
ORD-0042-0000161,CUST-0001098,806.22,COD,RTO,1024,11,3,7,110169,MEDIUM,0.1826,home,False,2026-01-01T18:40:00+00:00,RTO
ORD-0042-0000162,CUST-0000424,1120.02,PREPAID,DELIVERED,9,0,0,0,110027,HIGH,0.3219,footwear,True,2026-01-01T18:47:00+00:00,DELIVERED
